Pavarde           Vardas                Galutinis (Vid.)    Galutinis (Med.)
Pavarde22395      Vardas22395                       6.78                6.80
Pavarde22396      Vardas22396                       7.62                7.40
Pavarde22397      Vardas22397                       5.38                5.40
Pavarde22398      Vardas22398                       6.48                6.80
Pavarde22399      Vardas22399                       3.88                4.00
Pavarde224        Vardas224                         3.32                3.80
Pavarde2240       Vardas2240                        4.50                4.60
Pavarde22400      Vardas22400                       6.18                6.00
Pavarde22401      Vardas22401                       2.88                3.00
Pavarde22402      Vardas22402                       3.80                3.80
Pavarde22403      Vardas22403                       7.74                7.80
Pavarde22404      Vardas22404                       5.68                5.60
Pavarde22405      Vardas22405                       3.08                3.00
Pavarde22406      Vardas22406                       3.38                3.40
Pavarde22407      Vardas22407                       4.10                4.00
Pavarde22408      Vardas22408                       6.16                6.40
Pavarde22409      Vardas22409                       5.04                5.00
Pavarde2241       Vardas2241                        8.38                8.60
Pavarde22410      Vardas22410                       7.34                7.60
Pavarde22411      Vardas22411                       4.00                4.20
Pavarde22412      Vardas22412                       4.46                4.40
Pavarde22413      Vardas22413                       3.62                3.60
Pavarde22414      Vardas22414                       7.62                7.80
Pavarde22415      Vardas22415                       8.74                8.60
Pavarde22416      Vardas22416                       8.08                7.80
Pavarde22417      Vardas22417                       7.94                8.00
Pavarde22418      Vardas22418                       7.96                7.60
Pavarde22419      Vardas22419                       7.70                8.00
Pavarde2242       Vardas2242                        3.66                3.60
Pavarde22420      Vardas22420                       4.28                4.00
Pavarde22421      Vardas22421                       7.08                7.20
Pavarde22422      Vardas22422                       5.60                5.20
Pavarde22423      Vardas22423                       7.28                7.00
Pavarde22424      Vardas22424                       6.54                6.40
Pavarde22425      Vardas22425                       7.54                7.20
Pavarde22426      Vardas22426                       4.00                3.60
Pavarde22427      Vardas22427                       3.38                3.40
Pavarde22428      Vardas22428                       5.44                6.00
Pavarde22429      Vardas22429                       3.50                3.60
Pavarde2243       Vardas2243                        7.74                7.80
Pavarde22430      Vardas22430                       6.74                6.60
Pavarde22431      Vardas22431                       5.04                5.40
Pavarde22432      Vardas22432                       7.54                7.60
Pavarde22433      Vardas22433                       4.24                4.00
Pavarde22434      Vardas22434                       7.62                7.40
Pavarde22435      Vardas22435                       5.38                5.20
Pavarde22436      Vardas22436                       6.00                6.20
Pavarde22437      Vardas22437                       8.44                8.80
Pavarde22438      Vardas22438                       6.56                6.60
Pavarde22439      Vardas22439                       5.36                5.40
Pavarde2244       Vardas2244                        5.42                4.80
Pavarde22440      Vardas22440                       4.06                4.20
Pavarde22441      Vardas22441                       8.52                8.80
Pavarde22442      Vardas22442                       2.42                2.20
Pavarde22443      Vardas22443                       3.36                3.20
Pavarde22444      Vardas22444                       6.38                6.20
Pavarde22445      Vardas22445                       4.28                4.20
Pavarde22446      Vardas22446                       3.62                3.40
Pavarde22447      Vardas22447                       5.50                5.20
Pavarde22448      Vardas22448                       6.82                6.80
Pavarde22449      Vardas22449                       5.74                5.80
Pavarde2245       Vardas2245                        7.16                7.20
Pavarde22450      Vardas22450                       8.18                8.60
Pavarde22451      Vardas22451                       7.80                7.60
Pavarde22452      Vardas22452                       8.28                8.60
Pavarde22453      Vardas22453                       5.84                5.80
Pavarde22454      Vardas22454                       6.42                6.40
Pavarde22455      Vardas22455                       3.70                3.60
Pavarde22456      Vardas22456                       6.92                6.80
Pavarde22457      Vardas22457                       4.20                4.00
Pavarde22458      Vardas22458                       7.44                7.80
Pavarde22459      Vardas22459                       3.10                3.00
Pavarde2246       Vardas2246                        4.94                5.00
Pavarde22460      Vardas22460                       4.62                4.60
Pavarde22461      Vardas22461                       7.14                7.20
Pavarde22462      Vardas22462                       8.58                8.60
Pavarde22463      Vardas22463                       5.16                5.20
Pavarde22464      Vardas22464                       8.26                8.40
Pavarde22465      Vardas22465                       7.06                7.00
Pavarde22466      Vardas22466                       6.22                5.80
Pavarde22467      Vardas22467                       3.40                3.40
Pavarde22468      Vardas22468                       7.56                7.20
Pavarde22469      Vardas22469                       3.12                2.80
Pavarde2247       Vardas2247                        5.72                5.60
Pavarde22470      Vardas22470                       6.20                6.00
Pavarde22471      Vardas22471                       6.62                7.00
Pavarde22472      Vardas22472                       7.02                6.80
Pavarde22473      Vardas22473                       6.52                6.40
Pavarde22474      Vardas22474                       3.74                4.00
Pavarde22475      Vardas22475                       6.36                6.20
Pavarde22476      Vardas22476                       3.68                4.20
Pavarde22477      Vardas22477                       4.70                4.80
Pavarde22478      Vardas22478                       6.14                6.40
Pavarde22479      Vardas22479                       3.72                3.80
Pavarde2248       Vardas2248                        3.16                3.20
Pavarde22480      Vardas22480                       5.98                6.00
Pavarde22481      Vardas22481                       3.60                3.60
Pavarde22482      Vardas22482                       6.12                6.40
Pavarde22483      Vardas22483                       6.42                6.40
Pavarde22484      Vardas22484                       7.02                7.20
Pavarde22485      Vardas22485                       3.20                2.80
Pavarde22486      Vardas22486                       7.48                7.00
Pavarde22487      Vardas22487                       3.76                3.80
Pavarde22488      Vardas22488                       6.32                6.60
Pavarde22489      Vardas22489                       4.84                4.80
Pavarde2249       Vardas2249                        4.16                4.20
Pavarde22490      Vardas22490                       7.50                7.40
Pavarde22491      Vardas22491                       6.28                6.20
Pavarde22492      Vardas22492                       6.98                7.00
Pavarde22493      Vardas22493                       4.92                4.60
Pavarde22494      Vardas22494                       6.90                7.20
Pavarde22495      Vardas22495                       2.96                3.00
Pavarde22496      Vardas22496                       3.48                3.40
Pavarde22497      Vardas22497                       7.68                8.00
Pavarde22498      Vardas22498                       4.58                4.60
Pavarde22499      Vardas22499                       7.30                7.00
Pavarde225        Vardas225                         4.22                4.00
Pavarde2250       Vardas2250                        6.02                6.40
Pavarde22500      Vardas22500                       2.48                2.20
Pavarde22501      Vardas22501                       3.80                4.00
Pavarde22502      Vardas22502                       2.94                2.60
Pavarde22503      Vardas22503                       5.74                5.60
Pavarde22504      Vardas22504                       4.00                3.80
Pavarde22505      Vardas22505                       7.96                7.80
Pavarde22506      Vardas22506                       4.38                4.20
Pavarde22507      Vardas22507                       5.94                6.00
Pavarde22508      Vardas22508                       6.92                6.80
Pavarde22509      Vardas22509                       5.40                5.20
Pavarde2251       Vardas2251                        5.12                5.60
Pavarde22510      Vardas22510                       7.02                6.80
Pavarde22511      Vardas22511                       7.64                7.40
Pavarde22512      Vardas22512                       4.74                4.80
Pavarde22513      Vardas22513                       4.54                4.60
Pavarde22514      Vardas22514                       3.92                3.40
Pavarde22515      Vardas22515                       8.38                8.80
Pavarde22516      Vardas22516                       6.86                6.60
Pavarde22517      Vardas22517                       2.72                3.00
Pavarde22518      Vardas22518                       5.54                6.20
Pavarde22519      Vardas22519                       7.64                7.60
Pavarde2252       Vardas2252                        7.18                7.60
Pavarde22520      Vardas22520                       6.40                6.40
Pavarde22521      Vardas22521                       4.54                4.60
Pavarde22522      Vardas22522                       7.74                7.60
Pavarde22523      Vardas22523                       4.36                4.80
Pavarde22524      Vardas22524                       7.52                8.00
Pavarde22525      Vardas22525                       5.02                5.20
Pavarde22526      Vardas22526                       3.14                3.00
Pavarde22527      Vardas22527                       7.58                7.80
Pavarde22528      Vardas22528                       6.72                6.40
Pavarde22529      Vardas22529                       6.80                6.80
Pavarde2253       Vardas2253                        2.60                2.60
Pavarde22530      Vardas22530                       6.42                6.20
Pavarde22531      Vardas22531                       6.64                6.40
Pavarde22532      Vardas22532                       7.40                7.40
Pavarde22533      Vardas22533                       6.12                6.40
Pavarde22534      Vardas22534                       6.10                6.00
Pavarde22535      Vardas22535                       8.16                8.20
Pavarde22536      Vardas22536                       2.52                2.60
Pavarde22537      Vardas22537                       5.42                5.20
Pavarde22538      Vardas22538                       5.92                6.20
Pavarde22539      Vardas22539                       7.10                7.00
Pavarde2254       Vardas2254                        4.52                4.60
Pavarde22540      Vardas22540                       7.68                7.80
Pavarde22541      Vardas22541                       4.78                4.60
Pavarde22542      Vardas22542                       5.94                6.00
Pavarde22543      Vardas22543                       5.66                6.20
Pavarde22544      Vardas22544                       7.52                7.40
Pavarde22545      Vardas22545                       7.20                7.00
Pavarde22546      Vardas22546                       4.64                4.80
Pavarde22547      Vardas22547                       4.66                4.40
Pavarde22548      Vardas22548                       7.16                7.20
Pavarde22549      Vardas22549                       5.22                5.40
Pavarde2255       Vardas2255                        6.04                6.40
Pavarde22550      Vardas22550                       5.28                5.40
Pavarde22551      Vardas22551                       2.26                1.80
Pavarde22552      Vardas22552                       3.42                3.40
Pavarde22553      Vardas22553                       8.34                8.80
Pavarde22554      Vardas22554                       6.60                6.80
Pavarde22555      Vardas22555                       7.56                7.60
Pavarde22556      Vardas22556                       8.04                7.80
Pavarde22557      Vardas22557                       7.82                7.80
Pavarde22558      Vardas22558                       3.06                3.00
Pavarde22559      Vardas22559                       7.86                8.00
Pavarde2256       Vardas2256                        7.28                7.40
Pavarde22560      Vardas22560                       4.04                4.00
Pavarde22561      Vardas22561                       7.74                7.80
Pavarde22562      Vardas22562                       5.92                6.00
Pavarde22563      Vardas22563                       6.46                6.20
Pavarde22564      Vardas22564                       5.04                5.20
Pavarde22565      Vardas22565                       5.88                5.80
Pavarde22566      Vardas22566                       4.90                5.20
Pavarde22567      Vardas22567                       8.26                8.20
Pavarde22568      Vardas22568                       7.12                7.00
Pavarde22569      Vardas22569                       8.76                8.80
Pavarde2257       Vardas2257                        3.94                3.60
Pavarde22570      Vardas22570                       2.86                2.40
Pavarde22571      Vardas22571                       7.58                7.80
Pavarde22572      Vardas22572                       6.38                6.00
Pavarde22573      Vardas22573                       3.10                3.40
Pavarde22574      Vardas22574                       7.96                8.00
Pavarde22575      Vardas22575                       3.42                3.40
Pavarde22576      Vardas22576                       6.02                6.40
Pavarde22577      Vardas22577                       6.62                6.80
Pavarde22578      Vardas22578                       6.96                7.00
Pavarde22579      Vardas22579                       3.84                4.00
Pavarde2258       Vardas2258                        3.20                3.20
Pavarde22580      Vardas22580                       2.72                2.80
Pavarde22581      Vardas22581                       3.16                3.20
Pavarde22582      Vardas22582                       2.96                2.80
Pavarde22583      Vardas22583                       8.16                8.40
Pavarde22584      Vardas22584                       6.58                6.40
Pavarde22585      Vardas22585                       5.64                5.20
Pavarde22586      Vardas22586                       8.64                8.60
Pavarde22587      Vardas22587                       2.56                1.80
Pavarde22588      Vardas22588                       8.30                8.40
Pavarde22589      Vardas22589                       3.24                3.20
Pavarde2259       Vardas2259                        5.80                6.00
Pavarde22590      Vardas22590                       5.48                5.60
Pavarde22591      Vardas22591                       7.12                7.20
Pavarde22592      Vardas22592                       8.56                8.60
Pavarde22593      Vardas22593                       4.54                4.60
Pavarde22594      Vardas22594                       6.16                6.00
Pavarde22595      Vardas22595                       2.74                2.80
Pavarde22596      Vardas22596                       2.92                3.20
Pavarde22597      Vardas22597                       5.32                5.20
Pavarde22598      Vardas22598                       8.46                8.60
Pavarde22599      Vardas22599                       7.68                7.80
Pavarde226        Vardas226                         5.74                5.60
Pavarde2260       Vardas2260                        2.54                2.60
Pavarde22600      Vardas22600                       3.42                3.80
Pavarde22601      Vardas22601                       7.00                7.40
Pavarde22602      Vardas22602                       2.54                2.60
Pavarde22603      Vardas22603                       6.16                6.00
Pavarde22604      Vardas22604                       3.74                4.00
Pavarde22605      Vardas22605                       3.52                3.60
Pavarde22606      Vardas22606                       2.58                2.60
Pavarde22607      Vardas22607                       5.30                5.60
Pavarde22608      Vardas22608                       7.56                7.80
Pavarde22609      Vardas22609                       6.38                5.80
Pavarde2261       Vardas2261                        7.38                7.00
Pavarde22610      Vardas22610                       6.36                6.40
Pavarde22611      Vardas22611                       2.62                2.60
Pavarde22612      Vardas22612                       7.96                8.20
Pavarde22613      Vardas22613                       6.18                6.80
Pavarde22614      Vardas22614                       3.32                3.20
Pavarde22615      Vardas22615                       6.60                6.20
Pavarde22616      Vardas22616                       4.34                4.20
Pavarde22617      Vardas22617                       3.84                3.60
Pavarde22618      Vardas22618                       3.92                4.00
Pavarde22619      Vardas22619                       7.62                7.40
Pavarde2262       Vardas2262                        4.42                4.60
Pavarde22620      Vardas22620                       4.88                4.80
Pavarde22621      Vardas22621                       4.64                4.20
Pavarde22622      Vardas22622                       2.92                2.80
Pavarde22623      Vardas22623                       4.54                4.60
Pavarde22624      Vardas22624                       3.32                2.60
Pavarde22625      Vardas22625                       7.28                7.40
Pavarde22626      Vardas22626                       3.52                3.60
Pavarde22627      Vardas22627                       7.94                7.80
Pavarde22628      Vardas22628                       4.20                4.40
Pavarde22629      Vardas22629                       6.90                7.00
Pavarde2263       Vardas2263                        3.64                4.00
Pavarde22630      Vardas22630                       2.52                2.40
Pavarde22631      Vardas22631                       4.60                4.40
Pavarde22632      Vardas22632                       3.86                3.60
Pavarde22633      Vardas22633                       6.12                6.20
Pavarde22634      Vardas22634                       3.14                3.00
Pavarde22635      Vardas22635                       7.28                7.40
Pavarde22636      Vardas22636                       4.86                4.60
Pavarde22637      Vardas22637                       4.76                4.40
Pavarde22638      Vardas22638                       4.12                4.00
Pavarde22639      Vardas22639                       4.50                4.80
Pavarde2264       Vardas2264                        3.54                3.60
Pavarde22640      Vardas22640                       4.34                4.40
Pavarde22641      Vardas22641                       5.68                5.60
Pavarde22642      Vardas22642                       3.22                3.20
Pavarde22643      Vardas22643                       6.76                7.40
Pavarde22644      Vardas22644                       8.16                8.40
Pavarde22645      Vardas22645                       3.68                3.60
Pavarde22646      Vardas22646                       2.76                2.80
Pavarde22647      Vardas22647                       3.26                3.00
Pavarde22648      Vardas22648                       5.88                6.40
Pavarde22649      Vardas22649                       4.06                4.20
Pavarde2265       Vardas2265                        5.62                5.60
Pavarde22650      Vardas22650                       8.16                8.20
Pavarde22651      Vardas22651                       5.52                5.60
Pavarde22652      Vardas22652                       3.88                4.40
Pavarde22653      Vardas22653                       4.22                4.40
Pavarde22654      Vardas22654                       3.10                3.00
Pavarde22655      Vardas22655                       6.70                7.00
Pavarde22656      Vardas22656                       5.34                5.40
Pavarde22657      Vardas22657                       6.60                6.60
Pavarde22658      Vardas22658                       7.28                7.40
Pavarde22659      Vardas22659                       6.72                6.80
Pavarde2266       Vardas2266                        3.12                2.80
Pavarde22660      Vardas22660                       6.54                6.60
Pavarde22661      Vardas22661                       5.02                5.20
Pavarde22662      Vardas22662                       5.68                5.80
Pavarde22663      Vardas22663                       3.68                4.00
Pavarde22664      Vardas22664                       7.52                7.40
Pavarde22665      Vardas22665                       3.78                4.00
Pavarde22666      Vardas22666                       8.34                8.40
Pavarde22667      Vardas22667                       5.24                5.40
Pavarde22668      Vardas22668                       5.32                4.80
Pavarde22669      Vardas22669                       5.14                5.60
Pavarde2267       Vardas2267                        8.40                8.60
Pavarde22670      Vardas22670                       6.54                6.60
Pavarde22671      Vardas22671                       3.60                3.60
Pavarde22672      Vardas22672                       7.00                7.20
Pavarde22673      Vardas22673                       5.52                5.60
Pavarde22674      Vardas22674                       5.36                5.40
Pavarde22675      Vardas22675                       5.50                5.60
Pavarde22676      Vardas22676                       7.78                8.00
Pavarde22677      Vardas22677                       4.84                4.80
Pavarde22678      Vardas22678                       8.20                8.00
Pavarde22679      Vardas22679                       4.40                4.40
Pavarde2268       Vardas2268                        5.12                4.80
Pavarde22680      Vardas22680                       2.82                2.80
Pavarde22681      Vardas22681                       8.86                9.00
Pavarde22682      Vardas22682                       6.22                6.00
Pavarde22683      Vardas22683                       7.10                7.00
Pavarde22684      Vardas22684                       4.18                4.20
Pavarde22685      Vardas22685                       7.90                8.40
Pavarde22686      Vardas22686                       7.52                7.40
Pavarde22687      Vardas22687                       5.60                5.60
Pavarde22688      Vardas22688                       3.06                3.00
Pavarde22689      Vardas22689                       4.78                4.80
Pavarde2269       Vardas2269                        2.52                2.60
Pavarde22690      Vardas22690                       2.66                2.80
Pavarde22691      Vardas22691                       6.46                6.20
Pavarde22692      Vardas22692                       7.18                7.40
Pavarde22693      Vardas22693                       3.86                4.00
Pavarde22694      Vardas22694                       5.62                5.60
Pavarde22695      Vardas22695                       6.12                6.60
Pavarde22696      Vardas22696                       4.30                4.60
Pavarde22697      Vardas22697                       3.84                3.80
Pavarde22698      Vardas22698                       7.60                7.40
Pavarde22699      Vardas22699                       7.32                6.80
Pavarde227        Vardas227                         2.76                2.80
Pavarde2270       Vardas2270                        3.86                4.00
Pavarde22700      Vardas22700                       4.40                4.20
Pavarde22701      Vardas22701                       6.66                6.60
Pavarde22702      Vardas22702                       6.40                6.20
Pavarde22703      Vardas22703                       8.58                8.80
Pavarde22704      Vardas22704                       4.24                4.40
Pavarde22705      Vardas22705                       6.92                6.80
Pavarde22706      Vardas22706                       7.46                7.40
Pavarde22707      Vardas22707                       6.94                6.80
Pavarde22708      Vardas22708                       4.62                4.80
Pavarde22709      Vardas22709                       5.58                5.60
Pavarde2271       Vardas2271                        6.78                6.80
Pavarde22710      Vardas22710                       6.34                6.60
Pavarde22711      Vardas22711                       5.78                5.80
Pavarde22712      Vardas22712                       6.82                6.20
Pavarde22713      Vardas22713                       4.74                4.40
Pavarde22714      Vardas22714                       7.60                7.60
Pavarde22715      Vardas22715                       4.52                4.80
Pavarde22716      Vardas22716                       4.92                4.80
Pavarde22717      Vardas22717                       5.92                6.00
Pavarde22718      Vardas22718                       5.46                5.60
Pavarde22719      Vardas22719                       5.60                5.60
Pavarde2272       Vardas2272                        7.54                7.80
Pavarde22720      Vardas22720                       6.24                6.20
Pavarde22721      Vardas22721                       7.26                7.00
Pavarde22722      Vardas22722                       2.42                2.40
Pavarde22723      Vardas22723                       4.96                5.00
Pavarde22724      Vardas22724                       7.80                7.80
Pavarde22725      Vardas22725                       6.24                6.40
Pavarde22726      Vardas22726                       5.92                6.20
Pavarde22727      Vardas22727                       4.62                5.00
Pavarde22728      Vardas22728                       5.50                5.60
Pavarde22729      Vardas22729                       8.24                8.20
Pavarde2273       Vardas2273                        3.08                3.00
Pavarde22730      Vardas22730                       6.40                6.40
Pavarde22731      Vardas22731                       4.68                4.60
Pavarde22732      Vardas22732                       8.10                8.20
Pavarde22733      Vardas22733                       8.44                8.40
Pavarde22734      Vardas22734                       7.72                7.80
Pavarde22735      Vardas22735                       5.68                5.80
Pavarde22736      Vardas22736                       5.18                5.40
Pavarde22737      Vardas22737                       2.72                2.60
Pavarde22738      Vardas22738                       2.64                2.60
Pavarde22739      Vardas22739                       6.98                7.00
Pavarde2274       Vardas2274                        5.10                5.00
Pavarde22740      Vardas22740                       7.76                8.00
Pavarde22741      Vardas22741                       7.08                6.80
Pavarde22742      Vardas22742                       6.30                6.20
Pavarde22743      Vardas22743                       5.38                5.40
Pavarde22744      Vardas22744                       2.90                3.00
Pavarde22745      Vardas22745                       2.92                3.00
Pavarde22746      Vardas22746                       4.86                4.60
Pavarde22747      Vardas22747                       3.14                3.20
Pavarde22748      Vardas22748                       6.22                5.80
Pavarde22749      Vardas22749                       4.50                4.80
Pavarde2275       Vardas2275                        7.46                7.40
Pavarde22750      Vardas22750                       8.30                8.20
Pavarde22751      Vardas22751                       4.66                4.60
Pavarde22752      Vardas22752                       6.16                6.20
Pavarde22753      Vardas22753                       7.38                7.40
Pavarde22754      Vardas22754                       7.46                7.40
Pavarde22755      Vardas22755                       4.62                4.60
Pavarde22756      Vardas22756                       5.30                5.20
Pavarde22757      Vardas22757                       8.10                8.20
Pavarde22758      Vardas22758                       8.64                8.80
Pavarde22759      Vardas22759                       4.28                4.60
Pavarde2276       Vardas2276                        6.14                6.00
Pavarde22760      Vardas22760                       7.44                7.80
Pavarde22761      Vardas22761                       8.30                8.40
Pavarde22762      Vardas22762                       3.52                3.40
Pavarde22763      Vardas22763                       7.72                7.80
Pavarde22764      Vardas22764                       3.30                3.60
Pavarde22765      Vardas22765                       7.60                7.40
Pavarde22766      Vardas22766                       4.24                3.80
Pavarde22767      Vardas22767                       7.64                7.40
Pavarde22768      Vardas22768                       6.78                6.40
Pavarde22769      Vardas22769                       7.30                7.60
Pavarde2277       Vardas2277                        5.60                5.40
Pavarde22770      Vardas22770                       4.20                4.40
Pavarde22771      Vardas22771                       3.80                4.20
Pavarde22772      Vardas22772                       8.54                8.80
Pavarde22773      Vardas22773                       8.18                8.40
Pavarde22774      Vardas22774                       3.50                3.60
Pavarde22775      Vardas22775                       4.88                4.60
Pavarde22776      Vardas22776                       5.78                5.60
Pavarde22777      Vardas22777                       6.10                6.20
Pavarde22778      Vardas22778                       7.04                7.20
Pavarde22779      Vardas22779                       7.14                7.00
Pavarde2278       Vardas2278                        3.70                4.00
Pavarde22780      Vardas22780                       3.38                3.40
Pavarde22781      Vardas22781                       3.42                3.60
Pavarde22782      Vardas22782                       4.56                4.80
Pavarde22783      Vardas22783                       4.34                4.00
Pavarde22784      Vardas22784                       5.06                5.00
Pavarde22785      Vardas22785                       4.20                4.20
Pavarde22786      Vardas22786                       4.06                3.80
Pavarde22787      Vardas22787                       4.44                4.20
Pavarde22788      Vardas22788                       3.30                3.20
Pavarde22789      Vardas22789                       3.96                4.00
Pavarde2279       Vardas2279                        2.80                3.00
Pavarde22790      Vardas22790                       5.64                5.40
Pavarde22791      Vardas22791                       7.54                7.40
Pavarde22792      Vardas22792                       8.04                7.80
Pavarde22793      Vardas22793                       4.00                4.00
Pavarde22794      Vardas22794                       4.98                5.00
Pavarde22795      Vardas22795                       3.22                3.20
Pavarde22796      Vardas22796                       3.56                3.20
Pavarde22797      Vardas22797                       5.42                5.40
Pavarde22798      Vardas22798                       7.48                8.00
Pavarde22799      Vardas22799                       5.58                5.80
Pavarde228        Vardas228                         8.22                8.00
Pavarde2280       Vardas2280                        6.66                7.00
Pavarde22800      Vardas22800                       6.38                6.20
Pavarde22801      Vardas22801                       2.94                3.00
Pavarde22802      Vardas22802                       2.88                3.00
Pavarde22803      Vardas22803                       6.58                6.60
Pavarde22804      Vardas22804                       7.74                8.00
Pavarde22805      Vardas22805                       7.44                7.60
Pavarde22806      Vardas22806                       2.52                2.60
Pavarde22807      Vardas22807                       5.36                5.40
Pavarde22808      Vardas22808                       5.18                5.00
Pavarde22809      Vardas22809                       5.20                5.20
Pavarde2281       Vardas2281                        7.32                7.00
Pavarde22810      Vardas22810                       6.32                6.20
Pavarde22811      Vardas22811                       6.98                7.20
Pavarde22812      Vardas22812                       4.38                4.60
Pavarde22813      Vardas22813                       4.88                4.60
Pavarde22814      Vardas22814                       7.98                8.00
Pavarde22815      Vardas22815                       8.12                8.00
Pavarde22816      Vardas22816                       4.40                4.40
Pavarde22817      Vardas22817                       2.66                2.80
Pavarde22818      Vardas22818                       8.16                8.00
Pavarde22819      Vardas22819                       7.64                7.20
Pavarde2282       Vardas2282                        3.52                3.60
Pavarde22820      Vardas22820                       7.52                7.20
Pavarde22821      Vardas22821                       2.72                2.60
Pavarde22822      Vardas22822                       7.68                7.60
Pavarde22823      Vardas22823                       3.72                3.60
Pavarde22824      Vardas22824                       4.22                4.40
Pavarde22825      Vardas22825                       5.10                5.00
Pavarde22826      Vardas22826                       8.14                8.00
Pavarde22827      Vardas22827                       6.88                7.00
Pavarde22828      Vardas22828                       6.10                6.40
Pavarde22829      Vardas22829                       3.84                3.80
Pavarde2283       Vardas2283                        3.62                3.60
Pavarde22830      Vardas22830                       6.62                6.40
Pavarde22831      Vardas22831                       7.50                7.40
Pavarde22832      Vardas22832                       7.44                7.00
Pavarde22833      Vardas22833                       5.74                5.60
Pavarde22834      Vardas22834                       3.32                3.00
Pavarde22835      Vardas22835                       4.68                4.80
Pavarde22836      Vardas22836                       4.52                4.60
Pavarde22837      Vardas22837                       4.10                4.00
Pavarde22838      Vardas22838                       3.02                3.00
Pavarde22839      Vardas22839                       7.68                7.60
Pavarde2284       Vardas2284                        8.50                8.60
Pavarde22840      Vardas22840                       6.12                5.80
Pavarde22841      Vardas22841                       8.16                8.20
Pavarde22842      Vardas22842                       7.26                7.20
Pavarde22843      Vardas22843                       6.68                6.80
Pavarde22844      Vardas22844                       2.34                2.20
Pavarde22845      Vardas22845                       6.08                6.40
Pavarde22846      Vardas22846                       6.06                6.00
Pavarde22847      Vardas22847                       5.86                6.00
Pavarde22848      Vardas22848                       6.02                6.20
Pavarde22849      Vardas22849                       3.12                3.00
Pavarde2285       Vardas2285                        7.60                7.80
Pavarde22850      Vardas22850                       6.64                6.60
Pavarde22851      Vardas22851                       8.36                9.00
Pavarde22852      Vardas22852                       6.68                6.20
Pavarde22853      Vardas22853                       6.72                7.00
Pavarde22854      Vardas22854                       8.30                8.20
Pavarde22855      Vardas22855                       8.12                8.40
Pavarde22856      Vardas22856                       6.66                6.80
Pavarde22857      Vardas22857                       6.54                6.60
Pavarde22858      Vardas22858                       6.56                6.40
Pavarde22859      Vardas22859                       4.30                4.20
Pavarde2286       Vardas2286                        4.06                4.20
Pavarde22860      Vardas22860                       6.42                6.60
Pavarde22861      Vardas22861                       6.20                6.00
Pavarde22862      Vardas22862                       5.76                5.60
Pavarde22863      Vardas22863                       4.86                5.40
Pavarde22864      Vardas22864                       3.48                3.60
Pavarde22865      Vardas22865                       2.68                2.60
Pavarde22866      Vardas22866                       7.08                7.20
Pavarde22867      Vardas22867                       3.20                3.40
Pavarde22868      Vardas22868                       4.30                4.20
Pavarde22869      Vardas22869                       2.72                2.60
Pavarde2287       Vardas2287                        6.96                7.40
Pavarde22870      Vardas22870                       3.74                3.80
Pavarde22871      Vardas22871                       8.10                8.20
Pavarde22872      Vardas22872                       3.28                3.20
Pavarde22873      Vardas22873                       6.42                6.40
Pavarde22874      Vardas22874                       3.44                3.80
Pavarde22875      Vardas22875                       7.76                7.60
Pavarde22876      Vardas22876                       7.80                8.00
Pavarde22877      Vardas22877                       2.52                2.40
Pavarde22878      Vardas22878                       3.82                4.20
Pavarde22879      Vardas22879                       2.70                2.60
Pavarde2288       Vardas2288                        5.58                5.40
Pavarde22880      Vardas22880                       3.64                3.60
Pavarde22881      Vardas22881                       7.96                8.00
Pavarde22882      Vardas22882                       4.50                4.80
Pavarde22883      Vardas22883                       8.20                8.20
Pavarde22884      Vardas22884                       5.18                5.20
Pavarde22885      Vardas22885                       5.44                5.60
Pavarde22886      Vardas22886                       5.88                5.80
Pavarde22887      Vardas22887                       5.90                6.00
Pavarde22888      Vardas22888                       5.44                5.40
Pavarde22889      Vardas22889                       5.82                6.00
Pavarde2289       Vardas2289                        4.62                4.80
Pavarde22890      Vardas22890                       6.02                6.00
Pavarde22891      Vardas22891                       6.78                6.40
Pavarde22892      Vardas22892                       6.20                5.80
Pavarde22893      Vardas22893                       2.88                2.60
Pavarde22894      Vardas22894                       7.22                7.00
Pavarde22895      Vardas22895                       7.92                8.20
Pavarde22896      Vardas22896                       6.40                6.40
Pavarde22897      Vardas22897                       5.28                5.40
Pavarde22898      Vardas22898                       3.38                3.20
Pavarde22899      Vardas22899                       5.98                6.00
Pavarde229        Vardas229                         8.10                8.00
Pavarde2290       Vardas2290                        5.34                5.60
Pavarde22900      Vardas22900                       5.94                5.80
Pavarde22901      Vardas22901                       3.66                3.40
Pavarde22902      Vardas22902                       2.70                2.60
Pavarde22903      Vardas22903                       8.26                8.00
Pavarde22904      Vardas22904                       4.96                5.20
Pavarde22905      Vardas22905                       6.40                6.40
Pavarde22906      Vardas22906                       7.70                7.40
Pavarde22907      Vardas22907                       6.84                6.80
Pavarde22908      Vardas22908                       4.60                5.00
Pavarde22909      Vardas22909                       4.68                4.80
Pavarde2291       Vardas2291                        5.70                6.00
Pavarde22910      Vardas22910                       5.10                4.80
Pavarde22911      Vardas22911                       7.58                8.00
Pavarde22912      Vardas22912                       8.40                8.40
Pavarde22913      Vardas22913                       5.44                5.60
Pavarde22914      Vardas22914                       7.40                7.20
Pavarde22915      Vardas22915                       5.74                5.20
Pavarde22916      Vardas22916                       4.16                4.20
Pavarde22917      Vardas22917                       4.28                4.20
Pavarde22918      Vardas22918                       2.76                2.60
